,accession,gene
413,>XM_019475259.1,CAALFM_C208160CA
415,>XM_019475260.1,CAALFM_C208180CA
417,>XM_019475261.1,MFA1
419,>XM_019475262.1,CAALFM_C208400CA
421,>XM_019475263.1,CAALFM_C208520CA
423,>XM_019475264.1,CAALFM_C208900WA
425,>XM_019475265.1,CAALFM_C209030WA
427,>XM_019475266.1,FGR18
429,>XM_019475267.1,CAALFM_C209290WA
431,>XM_019475268.1,CAALFM_C209460CA
433,>XM_019475269.1,CAALFM_C209830CA
435,>XM_019475270.1,CAALFM_C209910CA
437,>XM_019475271.1,CAALFM_C210000CA
439,>XM_019475272.1,SLR1
441,>XM_019475273.1,FGR6-4
443,>XM_019475274.1,MTR2
445,>XM_019475275.1,CAALFM_C210650WA
447,>XM_019475276.1,TPS3
449,>XM_019475277.1,CAALFM_C210830WA
451,>XM_019475278.1,CAALFM_C300620CA
453,>XM_019475279.1,FKH2
455,>XM_019475280.1,PRM9
457,>XM_019475281.1,CAALFM_C301060WA
459,>XM_019475282.1,MRPL33
461,>XM_019475283.1,CAALFM_C301090WA
463,>XM_019475284.1,CAALFM_C301210CA
465,>XM_019475285.1,ARF3
467,>XM_019475286.1,TFP1
469,>XM_019475287.1,CAALFM_C301740CA
471,>XM_019475288.1,CAALFM_C301780CA
473,>XM_019475289.1,CAALFM_C301890CA
475,>XM_019475290.1,CAALFM_C301910CA
477,>XM_019475291.1,CAALFM_C302010CA
479,>XM_019475292.1,CAALFM_C302120WA
481,>XM_019475293.1,CAALFM_C302160CA
483,>XM_019475294.1,CAALFM_C302200WA
485,>XM_019475295.1,CAALFM_C302210CA
487,>XM_019475296.1,CAALFM_C302270WA
489,>XM_019475297.1,CAALFM_C302410CA
491,>XM_019475298.1,HRT1
493,>XM_019475299.1,PHA2
495,>XM_019475300.1,CAALFM_C302530WA
497,>XM_019475301.1,CAALFM_C302710WA
499,>XM_019475302.1,DTD2
501,>XM_019475303.1,RUB1
503,>XM_019475304.1,CAALFM_C303340CA
505,>XM_019475305.1,VTI1
507,>XM_019475306.1,GTT13
509,>XM_019475307.1,GTT12
511,>XM_019475308.1,GTT11
513,>XM_019475309.1,CAALFM_C303920WA
515,>XM_019475310.1,CAALFM_C304040WA
517,>XM_019475311.1,CAALFM_C304080WA
519,>XM_019475312.1,CAALFM_C304100WA
521,>XM_019475313.1,CAALFM_C304190WA
523,>XM_019475314.1,CAALFM_C304260WA
525,>XM_019475315.1,CTP1
527,>XM_019475316.1,CAALFM_C304330CA
529,>XM_019475317.1,CUP5
531,>XM_019475318.1,RIP1
533,>XM_019475319.1,CAALFM_C304440CA
535,>XM_019475320.1,RPL19A
537,>XM_019475321.1,CAALFM_C304590WA
539,>XM_019475322.1,RPS15
541,>XM_019475323.1,CAALFM_C304810CA
543,>XM_019475324.1,CAALFM_C304870WA
545,>XM_019475325.1,RPL35
547,>XM_019475326.1,RPL18
549,>XM_019475327.1,CAALFM_C305120CA
551,>XM_019475328.1,RPS19A
553,>XM_019475329.1,YST1
555,>XM_019475330.1,CAALFM_C305790CA
557,>XM_019475331.1,CAM1
559,>XM_019475332.1,CAALFM_C306240CA
561,>XM_019475333.1,TSA1B
563,>XM_019475334.1,CAALFM_C306350WA
565,>XM_019475335.1,CAALFM_C306390WA
567,>XM_019475336.1,APN1
569,>XM_019475337.1,ECM15
571,>XM_019475338.1,CAALFM_C306750WA
573,>XM_019475339.1,CAALFM_C306800CA
575,>XM_019475340.1,CAALFM_C307130WA
577,>XM_019475341.1,CAALFM_C307140CA
579,>XM_019475342.1,ZFU2
581,>XM_019475343.1,CAALFM_C307380WA
583,>XM_019475344.1,CAALFM_C307430WA
585,>XM_019475345.1,VAN1
587,>XM_019475346.1,CAALFM_C307580WA
589,>XM_019475347.1,CAALFM_C307680WA
591,>XM_019475348.1,CAALFM_C307690CA
593,>XM_019475349.1,CAALFM_C307920WA
595,>XM_019475350.1,PHR3
597,>XM_019475351.1,SUB2
599,>XM_019475352.1,ATP2
601,>XM_019475353.1,STE24
603,>XM_019475354.1,CAALFM_C400290CA
605,>XM_019475355.1,CAALFM_C400320CA
607,>XM_019475356.1,CAALFM_C400330CA
609,>XM_019475357.1,CAALFM_C400610WA
611,>XM_019475358.1,RPL40B
613,>XM_019475359.1,CRD2
615,>XM_019475360.1,RPS6A
617,>XM_019475361.1,HAP3
619,>XM_019475362.1,NHP6A
621,>XM_019475363.1,PDC12
623,>XM_019475364.1,DPM3
625,>XM_019475365.1,CAALFM_C401990WA
627,>XM_019475366.1,TIM10
629,>XM_019475367.1,CAALFM_C402160CA
631,>XM_019475368.1,SOD1
633,>XM_019475369.1,CAALFM_C402820WA
635,>XM_019475370.1,MED20
637,>XM_019475371.1,QCR9
639,>XM_019475372.1,CAALFM_C403040WA
641,>XM_019475373.1,CAALFM_C403300CA
643,>XM_019475374.1,CAALFM_C403310CA
645,>XM_019475375.1,CAALFM_C403400WA
647,>XM_019475376.1,CAALFM_C403930CA
649,>XM_019475377.1,CAALFM_C403950CA
651,>XM_019475378.1,CAALFM_C403960WA
653,>XM_019475379.1,CAALFM_C404110WA
655,>XM_019475380.1,CAALFM_C404380CA
657,>XM_019475381.1,CAALFM_C404390WA
659,>XM_019475382.1,CAALFM_C404400CA
661,>XM_019475383.1,EFB1
663,>XM_019475384.1,RPL30
665,>XM_019475385.1,CAALFM_C404970CA
667,>XM_019475386.1,CAALFM_C405040WA
669,>XM_019475387.1,HAP41
671,>XM_019475388.1,CAALFM_C405380CA
673,>XM_019475389.1,TUB4
675,>XM_019475390.1,CAALFM_C405820WA
677,>XM_019475391.1,NIF3
679,>XM_019475392.1,CMD1
681,>XM_019475393.1,CAALFM_C406080WA
683,>XM_019475394.1,CAALFM_C406150CA
685,>XM_019475395.1,CAALFM_C406200WA
687,>XM_019475396.1,CAALFM_C406290WA
689,>XM_019475397.1,CBF1
691,>XM_019475398.1,CAALFM_C406690CA
693,>XM_019475399.1,CAALFM_C406860CA
695,>XM_019475400.1,CAALFM_C406880CA
697,>XM_019475401.1,CAALFM_C407160WA
699,>XM_019475402.1,CAALFM_C407170CA
701,>XM_019475403.1,CAALFM_C500120WA
703,>XM_019475404.1,CAALFM_C500320WA
705,>XM_019475405.1,COF1
707,>XM_019475406.1,IFG3
709,>XM_019475407.1,TFB3
